CT-striped-XXL	Cotton T-shirt	XXL	striped	Straight-cut T-shirt in soft cotton jersey with ribbed crew neck and gently dropped shoulders	2	5.99	12981	8
RJB-black-S	Ribbed Jersey Bodysuit	S	black	Bodysuit in soft, ribbed jersey. Sweetheart neckline, gathered detail at center of bust for a gently draped effect, and long sleeves. Concealed snap fasteners at gusset	1	14.99	5034	0
BS-green-XS	Boxy Sweater	XS	green	Relaxed-fit, boxy sweater in soft jersey. Wide neckline, dropped shoulders, and long, wide sleeves	1	19.99	12045	0
FPP-plaid-S	Flannel Pajama Pants	S	plaid	Pajama pants in soft cotton flannel. Elasticized drawstring waistband, mock fly, side pockets, and tapered legs	6	21.99	7428	8
WLJ-blue-5	Wide Low Jeans	5	Denim blue	Loose-fit, 5-pocket jeans in thick cotton denim. Low waist, button fly, and straight, wide legs	5	49.99	12396	3
BS-green-L	Boxy Sweater	L	green	Relaxed-fit, boxy sweater in soft jersey. Wide neckline, dropped shoulders, and long, wide sleeves	1	19.99	18950	0
DBJ-yellow-free	Double-breasted Jacket	Free	yellow	Straight-cut, relaxed-fit, double-breasted jacket in woven, viscose-blend fabric. Narrow, notched lapels, buttons at front, and welt front pockets. Lined	3	34.99	6718	0
FPP-plaid-M	Flannel Pajama Pants	M	plaid	Pajama pants in soft cotton flannel. Elasticized drawstring waistband, mock fly, side pockets, and tapered legs	6	21.99	8860	8
GRD-black-L	Glittery Rib-knit Dress	L	black	Fitted, calf-length dress in a rib knit made from a cotton and cashmere blend with glittery threads. Round neckline, gently dropped shoulders, and long sleeves. Gently flared hem	7	125.99	14526	7
KC-white-L	Knitted cardigan	L	white	Cardigan in a soft, textured knit with a round neckline, buttons down the front and fake welt pockets. Long sleeves and ribbing at the cuffs and hem	3	64.99	10656	0
CBD-black-M	Cashmere-blend Bodycon Dress	M	black	Fitted, calf-length dress in a soft rib knit with cashmere content. V-neck front and back, long sleeves, and a straight hem	7	149.00	12116	0
BS-yellow-M	Boxy Sweater	M	yellow	Relaxed-fit, boxy sweater in soft jersey. Wide neckline, dropped shoulders, and long, wide sleeves	1	19.99	16650	0
BS-green-XL	Boxy Sweater	XL	green	Relaxed-fit, boxy sweater in soft jersey. Wide neckline, dropped shoulders, and long, wide sleeves	1	19.99	8523	0
BS-green-S	Boxy Sweater	S	green	Relaxed-fit, boxy sweater in soft jersey. Wide neckline, dropped shoulders, and long, wide sleeves	1	19.99	13454	0
CT-striped-XL	Cotton T-shirt	XL	striped	Straight-cut T-shirt in soft cotton jersey with ribbed crew neck and gently dropped shoulders	2	5.99	7085	8
BS-yellow-L	Boxy Sweater	L	yellow	Relaxed-fit, boxy sweater in soft jersey. Wide neckline, dropped shoulders, and long, wide sleeves	1	19.99	12856	0
CBD-black-L	Cashmere-blend Bodycon Dress	L	black	Fitted, calf-length dress in a soft rib knit with cashmere content. V-neck front and back, long sleeves, and a straight hem	7	149.00	13805	0
RJB-white-S	Ribbed Jersey Bodysuit	S	white	Bodysuit in soft, ribbed jersey. Sweetheart neckline, gathered detail at center of bust for a gently draped effect, and long sleeves. Concealed snap fasteners at gusset	1	14.99	6324	0
BS-green-M	Boxy Sweater	M	green	Relaxed-fit, boxy sweater in soft jersey. Wide neckline, dropped shoulders, and long, wide sleeves	1	19.99	13518	0
FJS-white-M	Flared Jersey Skirt	M	white	Short, flared skirt in soft jersey made from a viscose blend. High waist, concealed, elasticized waistband, and slit at sides of hem	7	18.99	4386	0
FPP-plaid-XS	Flannel Pajama Pants	XS	plaid	Pajama pants in soft cotton flannel. Elasticized drawstring waistband, mock fly, side pockets, and tapered legs	6	21.99	15229	8
RJB-white-M	Ribbed Jersey Bodysuit	M	white	Bodysuit in soft, ribbed jersey. Sweetheart neckline, gathered detail at center of bust for a gently draped effect, and long sleeves. Concealed snap fasteners at gusset	1	14.99	14216	0
CBD-black-S	Cashmere-blend Bodycon Dress	S	black	Fitted, calf-length dress in a soft rib knit with cashmere content. V-neck front and back, long sleeves, and a straight hem	7	149.00	12671	0
WLJ-blue-4	Wide Low Jeans	4	Denim blue	Loose-fit, 5-pocket jeans in thick cotton denim. Low waist, button fly, and straight, wide legs	5	49.99	8857	3
CT-striped-S	Cotton T-shirt	S	striped	Straight-cut T-shirt in soft cotton jersey with ribbed crew neck and gently dropped shoulders	2	5.99	7777	8
DBJ-white-free	Double-breasted Jacket	Free	white	Straight-cut, relaxed-fit, double-breasted jacket in woven, viscose-blend fabric. Narrow, notched lapels, buttons at front, and welt front pockets. Lined	3	34.99	8310	0
GRD-black-M	Glittery Rib-knit Dress	M	black	Fitted, calf-length dress in a rib knit made from a cotton and cashmere blend with glittery threads. Round neckline, gently dropped shoulders, and long sleeves. Gently flared hem	7	125.99	9507	7
FJS-white-XXS	Flared Jersey Skirt	XXS	white	Short, flared skirt in soft jersey made from a viscose blend. High waist, concealed, elasticized waistband, and slit at sides of hem	7	18.99	13903	0
RJB-black-M	Ribbed Jersey Bodysuit	M	black	Bodysuit in soft, ribbed jersey. Sweetheart neckline, gathered detail at center of bust for a gently draped effect, and long sleeves. Concealed snap fasteners at gusset	1	14.99	5597	0
KC-white-S	Knitted cardigan	S	white	Cardigan in a soft, textured knit with a round neckline, buttons down the front and fake welt pockets. Long sleeves and ribbing at the cuffs and hem	3	64.99	14598	0
BS-red-XS	Boxy Sweater	XS	red	Relaxed-fit, boxy sweater in soft jersey. Wide neckline, dropped shoulders, and long, wide sleeves	1	19.99	11360	0
FJS-black-M	Flared Jersey Skirt	S	black	Short, flared skirt in soft jersey made from a viscose blend. High waist, concealed, elasticized waistband, and slit at sides of hem	7	18.99	19022	0
GRD-red-XS	Glittery Rib-knit Dress	XS	red	Fitted, calf-length dress in a rib knit made from a cotton and cashmere blend with glittery threads. Round neckline, gently dropped shoulders, and long sleeves. Gently flared hem	7	139.99	14593	1
DBJ-black-free	Double-breasted Jacket	Free	black	Straight-cut, relaxed-fit, double-breasted jacket in woven, viscose-blend fabric. Narrow, notched lapels, buttons at front, and welt front pockets. Lined	3	34.99	11235	0
CT-striped-L	Cotton T-shirt	L	striped	Straight-cut T-shirt in soft cotton jersey with ribbed crew neck and gently dropped shoulders	2	5.99	15428	8
KC-cream-M	Knitted cardigan	M	cream	Cardigan in a soft, textured knit with a round neckline, buttons down the front and fake welt pockets. Long sleeves and ribbing at the cuffs and hem	3	64.99	6113	4
GRD-red-L	Glittery Rib-knit Dress	L	red	Fitted, calf-length dress in a rib knit made from a cotton and cashmere blend with glittery threads. Round neckline, gently dropped shoulders, and long sleeves. Gently flared hem	7	139.99	10647	1
FPP-plaid-L	Flannel Pajama Pants	L	plaid	Pajama pants in soft cotton flannel. Elasticized drawstring waistband, mock fly, side pockets, and tapered legs	6	21.99	8197	8
